S1_Comunicacion_Esp,S2_Compromiso_Etico,S3_Trabajo_Equipo_Liderazgo,S4_Resp_Social,S5_Gestion_Proyectos,S6_Aprendizaje_Digital,S7_Ingles,Edad,Genero,Facultad,Cohorte,T_Lower,T_Upper,Event,Genero_bin,"administración de empresas, gestión de calidad, gestión de datos ...","agroindustria, agronomía","análisis de datos, análisis de materiales, análisis de sistemas ...","aprendizaje no supervisado, aprendizaje supervisado","arcgis, qgis",arquitectura de computadoras,"aws, wireless",balances de materia y energía,base de datos,buenas prácticas agrícolas,"caracterización, clasificación","cartografía, topografía","ciberseguridad, seguridad informática","comercio exterior, economía internacional",control de plagas,control de procesos,"corrosión, regresión","costos, costos industriales","crm, scrum","css, desarrollo web, html ...","cálculo, cálculo numérico","cálculo estructural, diseño estructural, geología estructural","deep learning, inteligencia artificial, machine learning","diseño de pcb, diseño de plantas","distribución eléctrica, generación eléctrica","econometría, modelos econométricos","electrónica, electrónica analógica, electrónica digital ...","energía renovable, sustentabilidad, trazabilidad","estructura de datos, estructuras","etl, latex, lte","fibra óptica, óptica","finanzas, mercados financieros","geofísica, geomecánica, geotecnia","gis, git","ingeniería de perforación, ingeniería de yacimientos, perforación","ingeniería de procesos, ingeniería de producción, ingeniería de software","instalaciones eléctricas, mediciones eléctricas, protecciones eléctricas","instrumentación, instrumentación científica","java, python",just in time,"legislación ambiental, normas ambientales","logística, supply chain","macroeconomía, microeconomía","marketing, ventas","matemática aplicada, programación matemática","matlab, matplotlib","mecánica clásica, mecánica de materiales",modelado,"modelado ambiental, modelado geológico","modelado de datos, modelado matemático","modelado de reservorios, reservorios","optimización, optimización de procesos",producción,protocolos de comunicación,"react, revit","sensores, sensores remotos","simulación, simulación de procesos",sistemas de información,"telefonía ip, voz sobre ip","teoría cuántica, teoría de juegos, teoría de números","termodinámica, termodinámica química","tratamiento de aguas, tratamientos térmicos",visualización de datos,planificación de la producción,planificación de obras,procesamiento de alimentos,procesamiento de lenguaje natural,redes,redes neuronales,carrera_clean
5.0,5.0,5.0,5.0,5.0,5.0,5.0,23,Masculino,FIC (Civil),Julio,4.0,6.0,1.0,1,0.0007662942239075,0.0,0.0006401168611172,0.0,0.0017511320770051,0.0,0.0006339259168693,0.0,0.0003655681010155,0.0,0.0006311101395768,0.0006673373144172,0.0004482533145882,0.0002587991718426,0.0,0.0002587991718426,0.0003659972987508,0.0014128235851976,0.0003658354683098,0.0,0.0008882402461967,0.0004993908615563,0.0,0.0,0.0002587991718426,0.0,0.0006309011360184,0.000661839437977,0.0011825752360025,0.0002587991718426,0.0,0.0006317669647374,0.000834513286038,0.0008648079895128,0.0003656009401107,0.0002587991718426,0.0003656009401107,0.000553029976398,0.0003656009401107,0.0,0.0,0.0007420445335016,0.0,0.0015961268600422,0.0,0.0,0.0,0.0009381916796584,0.0,0.0,0.0002587991718426,0.000895853071636,0.0015090728857265,0.0,0.0008408116125105,0.0,0.0004478080367002,0.0002587991718426,0.0,0.0,0.0002587991718426,0.0004130803321098,0.0,0.00036576159699,0.0002587991718426,0.0002587991718426,0.0,0.0009261206635152,0.0,INGENIERÍA CIVIL
3.0,3.0,3.0,4.0,3.0,5.0,3.0,24,Masculino,FIE (Eléctrica/Electrónica),Julio,4.0,6.0,1.0,1,0.000377608164506,0.0001575051189163,0.0003851535149301,0.0,0.0,0.0,0.0005662805656482,0.0,0.0002213662477101,0.0,0.0003858071732214,0.0,0.0003877639247344,0.0003450764262121,0.0,0.0013141145714333,0.0,0.0003514386467251,0.0004446015848783,0.0003757984910682,0.0001575051189163,0.0,0.0003519336784893,0.0,0.0016208395804873,0.0,0.0012436506990444,0.0002113152916207,0.000567892782401,0.0001575051189163,0.0001575051189163,0.0003858071732214,0.0,0.0002219944990186,0.0,0.0002227458753147,0.0001575051189163,0.000469152008179,0.00059047643937,0.0,0.0,0.0006679710979563,0.0,0.0015593440751087,0.0,0.0,0.0,0.0002227458753147,0.0,0.0,0.0001575051189163,0.0003805025153963,0.0021600125356521,0.0002514005990348,0.000385063112462,0.0004055096297633,0.0001575051189163,0.0001575051189163,0.0,0.0,0.0,0.0002113152916207,0.0001575051189163,0.0,0.0,0.0002724123323536,0.0,0.0008737623955236,0.0,ELECTRÓNICA Y AUTOMATIZACIÓN
4.0,5.0,5.0,5.0,3.0,5.0,4.0,24,Femenino,FIS (Sistemas),Julio,6.0,inf,0.0,0,0.0011647157527336,0.0,0.0018938590943572,0.0,0.000512289124955,0.0,0.0045201134984633,0.0,0.0015320069008399,0.0,0.0003765729471449,0.0002407991762937,0.0010921629702223,0.0,0.0,0.0002396375702199,0.0006982556987451,0.0006088830373483,0.0031225704719006,0.0054777240468999,0.0002399869017996,0.0001702707304614,0.0021415251182931,0.0003404593066024,0.0,0.0,0.0008307068226651,0.000379882631018,0.0037054323962502,0.0012101945428731,0.0,0.0005855691462679,0.0,0.0030607712150779,0.0,0.0028894745185176,0.0,0.0002948295589392,0.0066495728078254,0.0001702707304614,0.0,0.0010253422229499,0.0,0.0022346754774134,0.0010267410125091,0.0009546701816148,0.0,0.0012874782858468,0.0,0.0009149277869167,0.0,0.0020040073098338,0.0013071178271504,0.0008539696005268,0.0030139402245259,0.0004523532904027,0.0005630951050333,0.0007126818561237,0.0,0.0,0.0,0.0,0.0007163441857002,0.0,0.0,0.0,0.0,0.0011517330484497,0.0003788838805353,SOFTWARE
4.0,5.0,3.5,3.0,3.0,4.0,4.0,27,Masculino,FIE (Eléctrica/Electrónica),Julio,6.0,inf,0.0,1,0.000377608164506,0.0001575051189163,0.0003851535149301,0.0,0.0,0.0,0.0005662805656482,0.0,0.0002213662477101,0.0,0.0003858071732214,0.0,0.0003877639247344,0.0003450764262121,0.0,0.0001575051189163,0.0,0.0003514386467251,0.0004446015848783,0.0003757984910682,0.0001575051189163,0.0,0.0003519336784893,0.0,0.0001927303119098,0.0,0.0012436506990444,0.0002113152916207,0.000567892782401,0.0001575051189163,0.0001575051189163,0.0003858071732214,0.0,0.0002219944990186,0.0,0.0002227458753147,0.0001575051189163,0.000469152008179,0.00059047643937,0.0,0.0,0.0006679710979563,0.0,0.0015593440751087,0.0,0.0,0.0,0.0002227458753147,0.0,0.0,0.0001575051189163,0.0003805025153963,0.0011967013606025,0.0002514005990348,0.000385063112462,0.0012477226243582,0.0001575051189163,0.0001575051189163,0.0,0.0,0.0,0.0002113152916207,0.0001575051189163,0.0,0.0,0.0002724123323536,0.0,0.0008737623955236,0.0,ELECTRÓNICA Y AUTOMATIZACIÓN
3.0,5.0,3.5,4.0,4.0,4.0,2.0,22,Masculino,FIS (Sistemas),Julio,6.0,inf,0.0,1,0.0011647157527336,0.0,0.0018938590943572,0.0,0.000512289124955,0.0,0.0045201134984633,0.0,0.0031708480705876,0.0,0.0003765729471449,0.0002407991762937,0.0021553387332821,0.0,0.0,0.0002396375702199,0.0006982556987451,0.0006088830373483,0.0031225704719006,0.0053949090290229,0.0002399869017996,0.0001702707304614,0.0021415251182931,0.0003404593066024,0.0,0.0,0.0008307068226651,0.000379882631018,0.0022971167413132,0.0012101945428731,0.0,0.0005855691462679,0.0,0.0030607712150779,0.0,0.0028894745185176,0.0,0.0002948295589392,0.0066495728078254,0.0001702707304614,0.0,0.0010253422229499,0.0,0.0022346754774134,0.0,0.0009546701816148,0.0,0.0012874782858468,0.0,0.0009149277869167,0.0,0.0020040073098338,0.0013071178271504,0.0008539696005268,0.0030139402245259,0.0004523532904027,0.0005630951050333,0.0007126818561237,0.0,0.0,0.0,0.0,0.0007163441857002,0.0,0.0,0.0,0.0,0.0011517330484497,0.0003788838805353,DESARROLLO DE SOFTWARE
3.0,2.0,2.0,2.0,2.0,4.0,2.0,25,Masculino,FIE (Eléctrica/Electrónica),Julio,4.0,6.0,1.0,1,0.000377608164506,0.0001575051189163,0.0003851535149301,0.0,0.0,0.0,0.0005662805656482,0.0,0.0002213662477101,0.0,0.0003858071732214,0.0,0.0003877639247344,0.0003450764262121,0.0,0.0001575051189163,0.0,0.0003514386467251,0.0004446015848783,0.0003757984910682,0.0001575051189163,0.0,0.0003519336784893,0.0,0.0001927303119098,0.0,0.002507203031433,0.0002113152916207,0.000567892782401,0.0001575051189163,0.0001575051189163,0.0003858071732214,0.0,0.0002219944990186,0.0,0.0002227458753147,0.0001575051189163,0.000469152008179,0.00059047643937,0.0,0.0,0.0006679710979563,0.0,0.0015593440751087,0.0,0.0,0.0,0.0002227458753147,0.0,0.0,0.0001575051189163,0.0003805025153963,0.0011967013606025,0.0002514005990348,0.000385063112462,0.0004055096297633,0.0001575051189163,0.0001575051189163,0.0,0.0,0.0,0.0002113152916207,0.0001575051189163,0.0,0.0,0.0002724123323536,0.0,0.0008737623955236,0.0,ELECTRÓNICA Y AUTOMATIZACIÓN
4.0,4.0,4.0,4.0,4.0,4.0,3.0,25,Masculino,FIS (Sistemas),Julio,1.0,2.0,1.0,1,0.0011647157527336,0.0,0.0018938590943572,0.0,0.000512289124955,0.0,0.0045201134984633,0.0,0.0031708480705876,0.0,0.0003765729471449,0.0002407991762937,0.0010921629702223,0.0,0.0,0.0002396375702199,0.0006982556987451,0.0006088830373483,0.0031225704719006,0.0043986399183769,0.0002399869017996,0.0001702707304614,0.0021415251182931,0.0003404593066024,0.0,0.0,0.0008307068226651,0.000379882631018,0.0022971167413132,0.0012101945428731,0.0,0.0005855691462679,0.0,0.0030607712150779,0.0,0.0028894745185176,0.0,0.0002948295589392,0.0066495728078254,0.0001702707304614,0.0,0.0010253422229499,0.0,0.0022346754774134,0.0010267410125091,0.0009546701816148,0.0,0.0012874782858468,0.0,0.0009149277869167,0.0,0.0020040073098338,0.0013071178271504,0.0008539696005268,0.0030139402245259,0.0004523532904027,0.0005630951050333,0.0007126818561237,0.0,0.0,0.0,0.0,0.0007163441857002,0.0,0.0012268352911135,0.0,0.0,0.0011517330484497,0.0003788838805353,DESARROLLO DE SOFTWARE
3.0,4.0,3.0,4.0,4.0,4.0,3.0,24,Masculino,FIC (Civil),Julio,6.0,inf,0.0,1,0.0007662942239075,0.0,0.0006401168611172,0.0,0.0008279811991478,0.0,0.0006339259168693,0.0,0.0003655681010155,0.0,0.0006311101395768,0.0006673373144172,0.0004482533145882,0.0002587991718426,0.0,0.0002587991718426,0.0003659972987508,0.0014128235851976,0.0003658354683098,0.0,0.0008882402461967,0.0004993908615563,0.0,0.0,0.0002587991718426,0.0,0.0006309011360184,0.000661839437977,0.0011825752360025,0.0002587991718426,0.0,0.0006317669647374,0.000834513286038,0.0008648079895128,0.0003656009401107,0.0002587991718426,0.0003656009401107,0.000553029976398,0.0003656009401107,0.0,0.0,0.0007420445335016,0.0,0.0015961268600422,0.0,0.0,0.0,0.0009381916796584,0.0,0.0,0.0002587991718426,0.000895853071636,0.0015090728857265,0.0,0.0008408116125105,0.0,0.0004478080367002,0.0002587991718426,0.0,0.0,0.0002587991718426,0.0004130803321098,0.0,0.00036576159699,0.0014797789044844,0.0002587991718426,0.0,0.0009261206635152,0.0,INGENIERÍA CIVIL
3.0,5.0,4.0,5.0,3.0,5.0,3.0,23,Femenino,FCA (Ciencias Admin.),Julio,2.0,4.0,1.0,0,0.0008949592543811,0.0,0.0008413888382083,0.0,0.0,0.0,0.0005174866621268,0.0,0.0003137201937792,0.0,0.0004441483455474,0.0,0.0003783042229643,0.0002220741727737,0.0,0.0006325002925984,0.0,0.0011762329530863,0.0003137201937792,0.0,0.0003601967650272,0.0,0.0005008411168245,0.0,0.0,0.0,0.0006998453282308,0.0004621844958358,0.000539206681766,0.0003137201937792,0.0,0.0006152294080147,0.0,0.0002220741727737,0.0,0.0007479147903071,0.0003844287137141,0.0003842480565728,0.0005359638922751,0.0002220741727737,0.0002220741727737,0.001227938435092,0.0,0.0019600818582127,0.0,0.0002220741727737,0.0,0.0004960928893947,0.0,0.0,0.0002220741727737,0.0026534208016535,0.0023862622438279,0.0,0.0003835503460115,0.000319003484478,0.000382844090482,0.0,0.0,0.0,0.0002220741727737,0.0003661267647191,0.0,0.0002220741727737,0.0,0.0,0.0,0.0005383278952082,0.0,INGENIERÍA DE LA PRODUCCIÓN
3.0,3.0,3.5,4.0,3.0,5.0,3.0,23,Femenino,FCA (Ciencias Admin.),Julio,4.0,6.0,1.0,0,0.0008949592543811,0.0,0.0008413888382083,0.0,0.0,0.0,0.0005174866621268,0.0,0.0003137201937792,0.0,0.0013303625678422,0.0,0.0003783042229643,0.0002220741727737,0.0,0.0020876844988526,0.0,0.0011762329530863,0.0003137201937792,0.0,0.0003601967650272,0.0,0.0005008411168245,0.0,0.0,0.0,0.0006998453282308,0.0004621844958358,0.000539206681766,0.0003137201937792,0.0,0.0006152294080147,0.0,0.0002220741727737,0.0,0.0007479147903071,0.0003844287137141,0.0003842480565728,0.0005359638922751,0.0002220741727737,0.0002220741727737,0.0026531946919945,0.0,0.0019600818582127,0.0010267410125091,0.0002220741727737,0.0,0.0004960928893947,0.0,0.0,0.0002220741727737,0.0010588522929946,0.0023862622438279,0.0,0.0003835503460115,0.000319003484478,0.000382844090482,0.0,0.0,0.0,0.0002220741727737,0.0003661267647191,0.0,0.0002220741727737,0.0012189129894672,0.0,0.0,0.0005383278952082,0.0,INGENIERÍA DE LA PRODUCCIÓN
